instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
week04_generated_50_battery_60_seed_2016,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,1202.611481905818,0.07561566600088554,7,0,0,2,0,16,77.24785022573693,route 3 leg 7 C33->D0: battery depleted,2,results/week05/raw/week04_generated_50_battery_60_seed_2016_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_50_battery_60_seed_2016,50,60.0,GA_VRPTW,2016,False,3909.415908984156,3.63787633299944,45,0,0,39,0,0,0.0,route 1 leg 2 C33->D0: battery depleted,39,results/week05/raw/week04_generated_50_battery_60_seed_2016_ga_vrptw.json
week04_generated_50_battery_60_seed_2016,50,60.0,GA_VRPTW_CHARGING_REPAIR,2016,False,4061.359393636663,3.6379995419993065,45,0,0,22,0,17,83.70747152535877,route 1 leg 2 C33->D0: battery depleted,22,results/week05/raw/week04_generated_50_battery_60_seed_2016_ga_vrptw_charging_repair.json
week04_generated_50_battery_60_seed_2016,50,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2016,False,4534.964579917276,3.6384362499993586,45,0,0,3,0,55,239.13949440406554,route 12 leg 2 C32->D0: battery depleted,3,results/week05/raw/week04_generated_50_battery_60_seed_2016_ga_vrptw_anticipatory_repair.json
week04_generated_50_battery_60_seed_2016,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,4534.964579917276,3.6418218329999945,45,0,0,3,0,55,239.13949440406554,route 12 leg 2 C32->D0: battery depleted,3,results/week05/raw/week04_generated_50_battery_60_seed_2016_ga_vrptw_anticipatory_split_repair.json
week04_generated_100_battery_60_seed_2014,100,60.0,OR_TOOLS_VRPTW,2014,False,1197.687045877769,0.08942845799901988,7,0,0,68,0,0,0.0,route 1 leg 6 C15->C47: battery depleted,68,results/week05/raw/week04_generated_100_battery_60_seed_2014_or_tools_vrptw.json
week04_generated_100_battery_60_seed_2014,100,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,1197.687045877769,0.08968912399905093,7,0,0,68,0,0,0.0,route 1 leg 6 C15->C47: battery depleted,68,results/week05/raw/week04_generated_100_battery_60_seed_2014_or_tools_vrptw_charging_repair.json
week04_generated_100_battery_60_seed_2014,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2014,False,1634.454120688861,0.09015404099955049,7,0,0,24,0,19,99.75755423350108,route 1 leg 21 C56->D0: battery depleted,24,results/week05/raw/week04_generated_100_battery_60_seed_2014_or_tools_vrptw_anticipatory_repair.json
week04_generated_100_battery_60_seed_2014,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,False,2418.16007124695,0.5621098329993401,12,0,0,1,0,36,181.4613272487558,route 5 leg 14 C85->D0: battery depleted,1,results/week05/raw/week04_generated_100_battery_60_seed_2014_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_100_battery_60_seed_2014,100,60.0,GA_VRPTW,2014,False,7361.997496133866,8.811058833000061,90,0,0,77,0,0,0.0,route 1 leg 2 C47->D0: battery depleted,77,results/week05/raw/week04_generated_100_battery_60_seed_2014_ga_vrptw.json
week04_generated_100_battery_60_seed_2014,100,60.0,GA_VRPTW_CHARGING_REPAIR,2014,False,7790.406305512341,8.811392915999022,90,0,0,38,0,39,191.35152808886693,route 1 leg 2 C47->D0: battery depleted,38,results/week05/raw/week04_generated_100_battery_60_seed_2014_ga_vrptw_charging_repair.json
week04_generated_100_battery_60_seed_2014,100,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2014,False,8821.013019627933,8.812651042000653,90,0,0,1,0,113,494.8186551937687,route 9 leg 2 C85->D0: battery depleted,1,results/week05/raw/week04_generated_100_battery_60_seed_2014_ga_vrptw_anticipatory_repair.json
week04_generated_100_battery_60_seed_2014,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,False,8821.013019627933,8.83050487500077,90,0,0,1,0,113,494.8186551937687,route 9 leg 2 C85->D0: battery depleted,1,results/week05/raw/week04_generated_100_battery_60_seed_2014_ga_vrptw_anticipatory_split_repair.json
week04_generated_100_battery_60_seed_2015,100,60.0,OR_TOOLS_VRPTW,2015,False,1092.2448373846646,0.06947912500072562,6,0,0,71,0,0,0.0,route 1 leg 5 C47->C100: battery depleted,71,results/week05/raw/week04_generated_100_battery_60_seed_2015_or_tools_vrptw.json
week04_generated_100_battery_60_seed_2015,100,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,1113.9102941184053,0.06972125000174856,6,0,0,62,0,2,11.992545076367982,route 1 leg 5 C47->C100: battery depleted,62,results/week05/raw/week04_generated_100_battery_60_seed_2015_or_tools_vrptw_charging_repair.json
week04_generated_100_battery_60_seed_2015,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2015,False,1540.3596482422913,0.07017650000125286,6,0,0,16,0,19,103.95762008037711,route 2 leg 6 C28->C13: battery depleted,16,results/week05/raw/week04_generated_100_battery_60_seed_2015_or_tools_vrptw_anticipatory_repair.json
