benchmark_type,instance,algorithm,runs,feasible_runs,feasibility_rate,best,mean,median,worst,standard_deviation,mean_runtime,gap_to_best_known
Primary,rc105C5,GA_VRPTW,3,0,0.0,,,,,,0.09773756966630269,
Primary,rc105C5,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0014677919971290976,
Stress,c101C5_battery_stress,ALNS_EXACT_CHARGING,3,3,1.0,250.03796759039258,250.03796759039258,250.03796759039258,250.03796759039258,0.0,0.015462957999261562,-1.136695746822095e-16
Stress,c101C5_battery_stress,BRANCH_PRICE_AND_CUT,1,1,1.0,250.03796759039258,250.03796759039258,250.03796759039258,250.03796759039258,0.0,0.03491204199963249,0.0
Stress,c101C5_battery_stress,GA_VRPTW,3,0,0.0,,,,,,0.09795798600074097,
Stress,c101C5_battery_stress,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0015249159987433814,
Stress,r105C5_battery_stress,ALNS_EXACT_CHARGING,3,3,1.0,156.08206946417084,156.08206946417084,156.08206946417084,156.08206946417084,0.0,0.011530791666397514,0.0
Stress,r105C5_battery_stress,BRANCH_PRICE_AND_CUT,1,1,1.0,156.08206946417084,156.08206946417084,156.08206946417084,156.08206946417084,0.0,0.03289491699979408,0.0
Stress,r105C5_battery_stress,GA_VRPTW,3,0,0.0,,,,,,0.09563775000060559,
Stress,r105C5_battery_stress,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0014762920000066515,
Stress,rc105C5_battery_stress,ALNS_EXACT_CHARGING,3,3,1.0,265.0944858951172,265.0944858951172,265.0944858951172,265.0944858951172,0.0,0.013571013666175228,2.1442701333024986e-16
Stress,rc105C5_battery_stress,BRANCH_PRICE_AND_CUT,1,1,1.0,265.0944858951172,265.0944858951172,265.0944858951172,265.0944858951172,0.0,0.03616995899938047,0.0
Stress,rc105C5_battery_stress,GA_VRPTW,3,0,0.0,,,,,,0.09907451399946392,
Stress,rc105C5_battery_stress,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0014421670020965394,
