experiment_id,start_utc,end_utc,benchmark_type,instance,source_instance,algorithm,algorithm_role,algorithm_version,seed,customer_count,station_count,vehicle_capacity,battery_capacity,battery_theoretical_lower_bound,battery_structural_lower_bound,battery_ratio,time_window_pressure,distance_metric,vehicle_count,objective_value,total_distance,total_energy,total_charged_energy,total_charging_time,status,feasible,proven_optimal,best_known_value,relative_gap,lower_bound,root_lower_bound,final_lower_bound,incumbent,optimality_gap,first_feasible_time,best_time,runtime_seconds,cpu_time_seconds,wall_clock_seconds,iterations,accepted_moves,rejected_moves,alns_destroy_statistics,alns_repair_statistics,charging_subproblem_calls,charging_subproblem_average_seconds,bpc_nodes,bpc_generated_columns,bpc_active_columns,bpc_pricing_iterations,forward_labels,backward_labels,joined_labels,labels_pruned,cuts_added,peak_memory_mb,failure_reason,raw_log_path,solution_path,threads,time_limit_seconds
primary-c104C10-or_tools_vrptw-0,2026-07-12T17:04:55.116521+00:00,2026-07-12T17:04:55.118788+00:00,Primary,c104C10,c104C10,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,10,4,200.0,77.75,26.1725046566048,52.3450093132096,1.4853373993073162,1.0,EUC_2D (unrounded Euclidean distance),1,262.4431244089896,262.4431244089896,262.4431244089896,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.0022651670005870983,0.0022569999999997314,0.0022651670005870983,,,,,,,,,,,,,,,,,102.265625,battery depleted on leg 4 (C3->C22) | battery depleted on leg 5 (C22->C34) | battery depleted on leg 6 (C34->C48) | battery depleted on leg 7 (C48->C42) | battery depleted on leg 8 (C42->C57) | battery depleted on leg 9 (C57->C80) | battery depleted on leg 10 (C80->C72) | battery depleted on leg 11 (C72->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c104C10-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c104C10-or_tools_vrptw-0.json,1,30.0
primary-c104C10-ga_vrptw-2014,2026-07-12T17:04:55.131630+00:00,2026-07-12T17:04:55.300776+00:00,Primary,c104C10,c104C10,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,10,4,200.0,77.75,26.1725046566048,52.3450093132096,1.4853373993073162,1.0,EUC_2D (unrounded Euclidean distance),6,438.33476121035426,438.33476121035426,438.33476121035426,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.16914087499753805,0.16888899999999962,0.16914087499753805,,,,,,,,,,,,,,,,,102.546875,battery depleted on leg 2 (C80->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c104C10-ga_vrptw-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c104C10-ga_vrptw-2014.json,1,30.0
primary-c104C10-ga_vrptw-2015,2026-07-12T17:04:55.314637+00:00,2026-07-12T17:04:55.483371+00:00,Primary,c104C10,c104C10,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2015,10,4,200.0,77.75,26.1725046566048,52.3450093132096,1.4853373993073162,1.0,EUC_2D (unrounded Euclidean distance),6,438.33476121035426,438.33476121035426,438.33476121035426,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.16873329200097942,0.16852199999999984,0.16873329200097942,,,,,,,,,,,,,,,,,102.640625,battery depleted on leg 2 (C80->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c104C10-ga_vrptw-2015.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c104C10-ga_vrptw-2015.json,1,30.0
primary-c104C10-ga_vrptw-2016,2026-07-12T17:04:55.497293+00:00,2026-07-12T17:04:55.665461+00:00,Primary,c104C10,c104C10,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2016,10,4,200.0,77.75,26.1725046566048,52.3450093132096,1.4853373993073162,1.0,EUC_2D (unrounded Euclidean distance),6,438.33476121035426,438.33476121035426,438.33476121035426,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.16816958300114493,0.16800300000000012,0.16816958300114493,,,,,,,,,,,,,,,,,102.71875,battery depleted on leg 2 (C80->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c104C10-ga_vrptw-2016.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c104C10-ga_vrptw-2016.json,1,30.0
primary-r103C10-branch_price_and_cut-0,2026-07-12T17:04:55.679715+00:00,2026-07-12T17:04:55.679715+00:00,Primary,r103C10,r103C10,BRANCH_PRICE_AND_CUT,small-scale exact theoretical reference,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,10,3,200.0,60.63,27.586228448267445,55.17245689653489,1.0989178914707327,1.0,EUC_2D (unrounded Euclidean distance),,,,,,,not_applicable,False,False,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,exact enumerated-column BPC is limited to at most 8 customers,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r103C10-branch_price_and_cut-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r103C10-branch_price_and_cut-0.json,1,30.0
primary-r103C10-or_tools_vrptw-0,2026-07-12T17:04:57.431101+00:00,2026-07-12T17:04:57.434050+00:00,Primary,r103C10,r103C10,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,10,3,200.0,60.63,27.586228448267445,55.17245689653489,1.0989178914707327,1.0,EUC_2D (unrounded Euclidean distance),3,191.32900624219155,191.32900624219155,191.32900624219155,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.0029469159999280237,0.002945999999999671,0.0029469159999280237,,,,,,,,,,,,,,,,,102.96875,battery depleted on leg 5 (C18->D0) | battery depleted on leg 4 (C81->C27) | battery depleted on leg 5 (C27->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r103C10-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r103C10-or_tools_vrptw-0.json,1,30.0
primary-rc102C10-branch_price_and_cut-0,2026-07-12T17:04:57.979391+00:00,2026-07-12T17:04:57.979391+00:00,Primary,rc102C10,rc102C10,BRANCH_PRICE_AND_CUT,small-scale exact theoretical reference,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,10,4,200.0,77.75,37.73592452822641,75.47184905645283,1.0301854396311811,1.0,EUC_2D (unrounded Euclidean distance),,,,,,,not_applicable,False,False,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,exact enumerated-column BPC is limited to at most 8 customers,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc102C10-branch_price_and_cut-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc102C10-branch_price_and_cut-0.json,1,30.0
primary-rc102C10-or_tools_vrptw-0,2026-07-12T17:04:58.459742+00:00,2026-07-12T17:04:58.462720+00:00,Primary,rc102C10,rc102C10,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,10,4,200.0,77.75,37.73592452822641,75.47184905645283,1.0301854396311811,1.0,EUC_2D (unrounded Euclidean distance),3,384.81723515153885,384.81723515153885,384.81723515153885,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.0029731249996984843,0.002966999999999942,0.0029731249996984843,,,,,,,,,,,,,,,,,103.0,battery depleted on leg 3 (C49->C26) | battery depleted on leg 4 (C26->D0) | battery depleted on leg 3 (C45->C70) | battery depleted on leg 4 (C70->D0) | battery depleted on leg 3 (C11->C92) | battery depleted on leg 4 (C92->C54) | battery depleted on leg 5 (C54->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc102C10-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc102C10-or_tools_vrptw-0.json,1,30.0
primary-rc102C10-ga_vrptw-2014,2026-07-12T17:04:58.475218+00:00,2026-07-12T17:04:58.645966+00:00,Primary,rc102C10,rc102C10,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,10,4,200.0,77.75,37.73592452822641,75.47184905645283,1.0301854396311811,1.0,EUC_2D (unrounded Euclidean distance),6,485.79679982353684,485.79679982353684,485.79679982353684,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.17074575000151526,0.17059099999999994,0.17074575000151526,,,,,,,,,,,,,,,,,103.015625,battery depleted on leg 2 (C26->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc102C10-ga_vrptw-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc102C10-ga_vrptw-2014.json,1,30.0
primary-rc102C10-ga_vrptw-2015,2026-07-12T17:04:58.658657+00:00,2026-07-12T17:04:58.829756+00:00,Primary,rc102C10,rc102C10,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2015,10,4,200.0,77.75,37.73592452822641,75.47184905645283,1.0301854396311811,1.0,EUC_2D (unrounded Euclidean distance),6,485.79679982353684,485.79679982353684,485.79679982353684,0.0,0.0,invalid,False,False,nan,,,,,,,,,0.17109766700014006,0.17090799999999984,0.17109766700014006,,,,,,,,,,,,,,,,,103.015625,battery depleted on leg 2 (C26->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc102C10-ga_vrptw-2015.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc102C10-ga_vrptw-2015.json,1,30.0
