infrastructure_variant,added_station_count,instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
augmented,1,week04_generated_100_battery_60_seed_2014_infrastructure_augmented,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,2259.4860645524404,0.40797249999923224,11,0,0,0,0,35,175.14547157452742,,0,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2014_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,1,week04_generated_100_battery_60_seed_2014_infrastructure_augmented,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,8818.917059795636,8.509456750000027,90,0,0,0,0,115,500.2213215838424,,0,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2014_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
original,0,week04_generated_100_battery_60_seed_2015,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,1854.295804483222,0.3701829589990666,9,0,0,3,0,24,129.65046742313643,route 3 leg 4 C13->D0: battery depleted,3,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2015_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_100_battery_60_seed_2015,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,8703.489092024649,8.879018334000648,91,0,0,4,0,103,451.3345891322367,route 20 leg 2 C87->D0: battery depleted,4,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2015_ga_vrptw_anticipatory_split_repair.json
augmented,4,week04_generated_100_battery_60_seed_2015_infrastructure_augmented,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,True,1514.5302303167812,0.07101687499925902,6,0,0,0,0,23,126.14940129829982,,0,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2015_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,4,week04_generated_100_battery_60_seed_2015_infrastructure_augmented,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,True,8326.771768073164,8.73116337600004,91,0,0,0,0,103,436.962623525537,,0,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2015_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
original,0,week04_generated_100_battery_60_seed_2016,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,2032.79355553142,0.5867690420000145,12,0,0,3,0,26,132.48868458098502,route 1 leg 5 C85->D0: battery depleted,3,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2016_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_100_battery_60_seed_2016,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,8284.275792100098,8.564226458000121,87,0,0,4,0,102,444.32417116643234,route 23 leg 2 C29->D0: battery depleted,4,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2016_ga_vrptw_anticipatory_split_repair.json
augmented,4,week04_generated_100_battery_60_seed_2016_infrastructure_augmented,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,True,1573.5429587870797,0.15676929100118286,7,0,0,0,0,24,125.14531766914735,,0,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2016_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,4,week04_generated_100_battery_60_seed_2016_infrastructure_augmented,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,True,8141.590930735424,8.613310459000786,87,0,0,0,0,106,452.0336294126687,,0,results/week05_infrastructure/raw/week04_generated_100_battery_60_seed_2016_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
