battery_capacity,size,method,runs,feasible_runs,feasible_rate,best_feasible_objective,avg_feasible_objective,objective_stddev,avg_runtime_seconds,avg_total_violation_count,avg_capacity_violations,avg_time_window_violations,avg_energy_violations,avg_charging_count,avg_charging_time
60.0,50,GA_VRPTW,3,0,0.0,,,,3.621795596999315,40.0,0.0,0.0,40.0,0.0,0.0
60.0,50,GA_VRPTW_ANTICIPATORY_REPAIR,3,1,0.3333333333333333,4950.543143979656,4950.543143979656,,3.6223611806659997,2.0,0.0,0.0,2.0,57.666666666666664,249.12466095519335
60.0,50,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,3,1,0.3333333333333333,4950.543143979656,4950.543143979656,,3.624395471999378,2.0,0.0,0.0,2.0,57.666666666666664,249.12466095519335
60.0,50,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,3.621925249666068,21.666666666666668,0.0,0.0,21.666666666666668,18.333333333333332,87.8543733397488
60.0,50,OR_TOOLS_VRPTW,3,0,0.0,,,,0.019611139000213978,37.0,0.0,0.0,37.0,0.0,0.0
60.0,50,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,0.019838444333193667,17.666666666666668,0.0,0.0,17.666666666666668,8.666666666666666,45.83675716812874
60.0,50,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,3,1,0.3333333333333333,1373.442932542023,1373.442932542023,,0.08155590266748429,1.6666666666666667,0.0,0.0,1.6666666666666667,17.666666666666668,89.76428112380006
60.0,50,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.01970716699967549,32.0,0.0,0.0,32.0,1.3333333333333333,7.555937631301745
60.0,100,GA_VRPTW,3,0,0.0,,,,8.730145583333675,77.0,0.0,0.0,77.0,0.0,0.0
60.0,100,GA_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,8.73168600033326,3.0,0.0,0.0,3.0,106.0,463.4924718308126
60.0,100,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,3,0,0.0,,,,8.751203347333407,3.0,0.0,0.0,3.0,106.0,463.4924718308126
60.0,100,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,8.730481874999896,35.0,0.0,0.0,35.0,42.0,204.42113657686264
60.0,100,OR_TOOLS_VRPTW,3,0,0.0,,,,0.07850668033339996,69.66666666666667,0.0,0.0,69.66666666666667,0.0,0.0
60.0,100,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,0.07917880533386779,26.666666666666668,0.0,0.0,26.666666666666668,15.666666666666666,84.16702310543663
60.0,100,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,3,0,0.0,,,,0.5031376106665751,2.3333333333333335,0.0,0.0,2.3333333333333335,28.666666666666668,147.86682641762573
60.0,100,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.07876179133381811,66.66666666666667,0.0,0.0,66.66666666666667,0.6666666666666666,3.997515025455994
60.0,200,GA_VRPTW,3,0,0.0,,,,23.342061111000174,157.0,0.0,0.0,157.0,0.0,0.0
60.0,200,GA_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,23.34790494466809,7.0,0.0,0.0,7.0,227.66666666666666,993.7115908673901
60.0,200,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,3,0,0.0,,,,23.429915721666475,7.0,0.0,0.0,7.0,227.66666666666666,993.7115908673901
60.0,200,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,23.343108569000226,84.66666666666667,0.0,0.0,84.66666666666667,72.33333333333333,357.22783487885
60.0,200,OR_TOOLS_VRPTW,3,0,0.0,,,,0.4171827776669185,127.33333333333333,0.0,0.0,127.33333333333333,0.0,0.0
60.0,200,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,0.41968304166766757,31.0,0.0,0.0,31.0,30.333333333333332,160.94252591237714
60.0,200,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,3,0,0.0,,,,3.6610152080005114,3.6666666666666665,0.0,0.0,3.6666666666666665,43.666666666666664,228.77242720055344
60.0,200,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.4179982916672695,127.33333333333333,0.0,0.0,127.33333333333333,0.0,0.0
