instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW,2014,False,653.9722577041131,0.01746787500451319,3,0,0,37,0,0,0.0,route 1 leg 5 C11->C38: battery depleted,37,results/week04/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw.json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,653.9722577041131,0.01757495800848119,3,0,0,37,0,0,0.0,route 1 leg 5 C11->C38: battery depleted,37,results/week04/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw_charging_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2014,False,848.0993795438166,0.017698499985272065,3,0,0,22,0,7,39.32573171837545,route 1 leg 9 C42->C8: battery depleted,22,results/week04/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw_anticipatory_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW,2014,False,4011.1803571839314,3.6683320830052253,47,0,0,45,0,0,0.0,route 1 leg 2 C41->D0: battery depleted,45,results/week04/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW_CHARGING_REPAIR,2014,False,4215.531773372853,3.6684893750061747,47,0,0,24,0,21,97.03737462806569,route 3 leg 2 C22->D0: battery depleted,24,results/week04/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw_charging_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2014,True,4950.543143979656,3.6689799999876413,47,0,0,0,0,69,294.7428131628432,,0,results/week04/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw_anticipatory_repair.json
week04_generated_50_battery_60_seed_2015,50,60.0,OR_TOOLS_VRPTW,2015,False,714.4967064087914,0.023057666985550895,3,0,0,38,0,0,0.0,route 1 leg 5 C32->C8: battery depleted,38,results/week04/raw/week04_generated_50_battery_60_seed_2015_or_tools_vrptw.json
week04_generated_50_battery_60_seed_2015,50,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,771.6231492184854,0.023139249969972298,3,0,0,23,0,4,22.667812893905236,route 1 leg 17 C50->C18: battery depleted,23,results/week04/raw/week04_generated_50_battery_60_seed_2015_or_tools_vrptw_charging_repair.json
week04_generated_50_battery_60_seed_2015,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2015,False,898.9293242712182,0.02327770899864845,3,0,0,20,0,7,39.248026488896414,route 1 leg 20 C18->C44: battery depleted,20,results/week04/raw/week04_generated_50_battery_60_seed_2015_or_tools_vrptw_anticipatory_repair.json
week04_generated_50_battery_60_seed_2015,50,60.0,GA_VRPTW,2015,False,3773.1068132140226,3.647552792011993,46,0,0,36,0,0,0.0,route 2 leg 2 C39->D0: battery depleted,36,results/week04/raw/week04_generated_50_battery_60_seed_2015_ga_vrptw.json
